Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
19717B	M.	Artano	Stéphane	ACTIF	09/03/1973		RDSE		commission des affaires sociales	Saint-Pierre-et-Miquelon		s.artano@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Conseiller en gestion de patrimoine
83011J	M.	Arthuis	Jean	ANCIEN	07/10/1944		UC		commission des finances	Mayenne		j.arthuis@senat.fr	Professions libérales	Professions judiciaires et libérales (Divers)	Expert comptable
19631V	Mme	Artigalas	Viviane	ACTIF	22/10/1956		SOCR		commission des affaires économiques	Hautes-Pyrénées		v.artigalas@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Proviseur
80003V	M.	Arzel	Alphonse	ANCIEN	20/09/1927	21/02/2014	UC		commission des lois	Finistère			Agriculteurs exploitants	Professions agricoles	Agriculteur
04085P	Mme	Assassi	Éliane	ACTIF	02/10/1958		CRCE		commission de l'aménagement du territoire et du développement durable	Seine-Saint-Denis		e.assassi@senat.fr	Cadres de la fonction publique	Salariés (Cadres divers)	Directrice de communication
04059M	M.	Assouline	David	ACTIF	16/06/1959		SOCR		commission de la culture	Paris	Vice-président du Sénat	d.assouline@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur d'histoire-géographie
98011L	M.	Auban	Bertrand	ANCIEN	18/01/1947		SOCR		commission des affaires étrangères	Haute-Garonne		b.auban@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Divers)	Enseignant
000012	M.	Auberger	Fernand	ANCIEN	07/05/1900	06/03/1962	SOCR		commission des finances	Allier			Instituteurs et assimilés	Enseignement primaire	Instituteur
000146	M.	Aubert	Emile	ANCIEN	23/07/1906	22/08/1969	SOCR		commission de l'économie	Basses-Alpes			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
14137P	M.	Aubey	François	ANCIEN	20/09/1960		SOCR		commission de l'aménagement du territoire et du développement durable	Calvados		f.aubey@senat.fr	Cadres de la fonction publique	Fonctionnaires (Cadres moyens)	Fonctionnaire territorial
000051	M.	Aubin	Jean	ANCIEN	15/08/1901	06/01/1994	UC	Apparenté	commission de la culture	Hautes-Alpes			Agriculteurs exploitants	Professions agricoles	Agriculteur
58614M	M.	Aubry	André	ANCIEN	01/08/1931		C		commission des affaires sociales	Hauts-de-Seine			Ouvriers	Salariés (Ouvriers)	Ajusteur
000098	M.	Auburtin	Jean	ANCIEN	26/04/1904	23/06/1981	RPR		commission des lois	Paris			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000292	M.	Audy	Marcel	ANCIEN	02/04/1912	06/01/1968	G.D.		commission des affaires sociales	Corrèze			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
83012K	M.	Autain	François	ANCIEN	16/06/1935	20/12/2019	CRCE		commission des affaires sociales	Loire-Atlantique		f.autain@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
00001A	M.	Autexier	Jean-Yves	ANCIEN	05/01/1950		CRCE		commission des affaires étrangères	Paris		Non public	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Cadre administratif
80004W	M.	Authié	Germain	ANCIEN	04/07/1927	04/09/2001	SOCR		commission des lois	Ariège			Instituteurs et assimilés	Enseignement primaire	Instituteur spécialisé
19515S	M.	Babary	Serge	ACTIF	16/07/1946		Les Républicains		commission des affaires économiques	Indre-et-Loire		s.babary@senat.fr	Autres personnes sans activité professionnelle	Commerce et industrie (Retraités)	Chef d'entreprise
57741P	M.	Bac	Jean	ANCIEN	01/04/1915	14/02/2005	RPR		commission des lois	Yvelines			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
95006B	M.	Badinter	Robert	ANCIEN	30/03/1928		SOCR		commission des affaires étrangères	Hauts-de-Seine		r.badinter@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Avocat, professeur d'Université
95007C	M.	Badré	Denis	ANCIEN	03/01/1943		UC		commission des finances	Hauts-de-Seine		d.badre@senat.fr	Ingenieurs et cadres techniques d'entreprise	Fonctionnaires (Divers)	Ingénieur général du Génie rural, des Eaux et Forêts
89046W	M.	Bailet	Honoré	ANCIEN	27/02/1920	16/09/2003	RPR		commission de la culture	Alpes-Maritimes			Commercants et assimilés	Commerce et industrie (Commercants)	Chevillard
11039M	M.	Bailly	Dominique	ANCIEN	02/01/1960		SOCR		commission de la culture	Nord	Questeur du Sénat	d.bailly@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Cadres moyens)	Fonctionnaire du ministère des Finances
01008M	M.	Bailly	Gérard	ANCIEN	28/01/1940		Les Républicains		commission des affaires économiques	Jura		g.bailly@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Agriculteur
000490	M.	Bailly	Jean	ANCIEN	31/05/1922	21/04/1984	U.D.R.		Aucune (Président du Sénat)	Territoire de Belfort			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur Civil
000339	M.	Bajeux	Octave	ANCIEN	23/04/1914	19/09/1986	U.C.D.P.		commission de l'économie	Nord			Agriculteurs exploitants	Professions agricoles	Agriculteur
84004P	M.	Balarello	José	ANCIEN	25/12/1926	25/02/2015	Les Républicains		commission des lois	Alpes-Maritimes		jose.balarello@wanadoo.fr	Anciens cadres	Professions judiciaires et libérales (Retraités)	Avocat honoraire
000115	M.	Balestra	Clément	ANCIEN	24/02/1905	14/11/1984	SOCR		commission de la culture	Var			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Divers)	Chef de travaux de la marine nationale
74008N	M.	Ballayer	René	ANCIEN	02/03/1915	26/01/2001	UC		commission des finances	Mayenne		Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	Négociant en vins
59564Y	M.	Bangou	Henri	ANCIEN	15/07/1922		C	Apparenté	commission de l'économie	Guadeloupe			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
19707Y	M.	Bansard	Jean-Pierre	ANCIEN	15/05/1940		Les Républicains	Rattaché	commission des affaires économiques	Français établis hors de France		jp.bansard@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Président de compagnie
000733	M.	Baratgin	Paul	ANCIEN	17/12/1890	22/12/1966	G.D.		commission des lois	Hautes-Pyrénées	Questeur du Sénat		Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
79005G	M.	Barbier	Bernard	ANCIEN	30/06/1924	25/02/1998	RI		commission des finances	Côte-d'Or			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant en vins
01046T	M.	Barbier	Gilbert	ANCIEN	03/03/1940		RDSE		commission des affaires sociales	Jura		senat.barbiergilbert@wanadoo.fr	Autres personnes sans activité professionnelle	Professions médicales (Chirurgiens)	Chirurgien
000282	M.	Barbier	Pierre	ANCIEN	02/01/1912	28/10/1982	G.D.		commission des affaires sociales	Nièvre			Medecins libéraux généralistes	Professions médicales (Chirurgiens)	Chirurgien
58109Y	M.	Bardol	Jean	ANCIEN	06/05/1923	15/03/2004	C		commission des finances	Pas-de-Calais			Instituteurs et assimilés	Enseignement primaire	Instituteur
94004U	Mme	Bardou	Janine	ANCIEN	16/09/1927	29/12/2008	RI		commission de l'économie	Lozère		Non public	Anciens cadres	Professions judiciaires et libérales (Retraités)	Agent d'assurances
19651A	M.	Bargeton	Julien	ACTIF	29/03/1973		LaREM		commission des finances	Paris		j.bargeton@senat.fr	Magistrats	Fonctionnaires (Hauts Fonctionnaires)	Magistrat financier
58515K	M.	Barkat-Gourat	Hamadou	ANCIEN	01/01/1930	18/03/2018	U.N.R.		commission des affaires sociales	Côte française des Somalis			Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession
95008D	M.	Barnier	Michel	ANCIEN	09/01/1951		RPR		commission des affaires étrangères	Savoie		Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	
05004A	M.	Baroin	François	ANCIEN	21/06/1965		Les Républicains		commission des finances	Aube		f.baroin@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	avocat
000002	M.	Barrachin	Edmond	ANCIEN	12/01/1900	08/11/1975	U.C.D.P.		commission de la culture	Hauts-de-Seine			Cadres de la publicité; cadres des relations publiques	Professions libérales (Publicistes)	Publiciste
000529	M.	Barras	Jean	ANCIEN	04/05/1924	11/04/1990	RPR		commission des affaires sociales	Français établis hors de France			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur d'usine 
89018S	M.	Barraux	Bernard	ANCIEN	05/02/1935		Les Républicains	Rattaché	commission des affaires étrangères	Allier			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Commerçant
000277	M.	Barroux	André	ANCIEN	10/09/1911	06/04/1986	SOCR		commission de l'économie	Puy-de-Dôme			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
05008E	M.	Bas	Philippe	ACTIF	20/07/1958		Les Républicains		commission des lois	Manche		p.bas@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat
19741B	M.	Bascher	Jérôme	ACTIF	31/05/1973		Les Républicains		commission des finances	Oise		j.bascher@senat.fr	Cadres de la fonction publique	Fonctionnaires (Cadres moyens)	Attaché statisticien hors classe
58613L	M.	Bastie	Pierre	ANCIEN	17/09/1925	21/05/2013	SOCR		commission des affaires sociales	Aude			Anciens cadres	Enseignement (Retraités)	Retraité
000032	M.	Bastit-St Martin	Armand	ANCIEN	14/11/1900	13/03/1984	R.I.A.S.		commission des lois	Gironde			Agriculteurs exploitants	Professions agricoles	Viticulteur
11036J	Mme	Bataille	Delphine	ANCIEN	16/09/1969		LaREM		commission des affaires économiques	Nord		d.bataille@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Assistante parlementaire
83013L	M.	Bataille	Jean-Paul	ANCIEN	18/08/1929	16/10/1999	RI		commission de la culture	Nord			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
92007P	M.	Baudot	Jacques	ANCIEN	09/03/1936	21/06/2007	Les Républicains		commission des finances	Meurthe-et-Moselle		j.baudot@senat.fr	Chirurgiens-dentistes (libéraux ou salariés)	Professions médicales (Dentistes)	Chirurgien-Dentiste
000400	M.	Baumel	Jacques	ANCIEN	06/03/1918	17/02/2006	U.N.R.		commission de la culture	Seine			Cadres de la publicité; cadres des relations publiques	Professions libérales (Publicistes)	Publiciste
59721T	M.	Baumet	Gilbert	ANCIEN	05/02/1943		R.D.E.		commission des affaires sociales	Gard			Cadres d'entreprise	Salariés (Cadres divers)	Cadre supérieur
000663	M.	Bayle	Jean-Pierre	ANCIEN	27/09/1947		SOCR		commission des affaires étrangères	Français établis hors de France			Instituteurs et assimilés	Enseignement secondaire	Enseignant
86010V	M.	Baylet	Jean-Michel	ANCIEN	17/11/1946		RDSE		commission des affaires étrangères	Tarn-et-Garonne		Non public	Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Président-directeur général d'un groupe de presse
000116	M.	Bayrou	Maurice	ANCIEN	02/03/1905	29/12/1996	U.N.R.		commission des affaires étrangères	Paris	Vice-président du Sénat		Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Inspecteur général des services de l'élevage d'outre-mer
19667J	M.	Bazin	Arnaud	ACTIF	10/01/1959		Les Républicains		commission des finances	Val-d'Oise		a.bazin@senat.fr	Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	30/10/1937		CRCE		commission des finances	Val-d'Oise		Non public	Cadres d'entreprise	Salariés (Cadres divers)	Secrétaire de direction
01013J	Mme	Beaufils	Marie-France	ANCIEN	22/11/1946		CRCE		commission des finances	Indre-et-Loire		mariefrance.beaufils@wanadoo.fr	Autres personnes sans activité professionnelle	Enseignement primaire	Professeur des écoles
000731	M.	Beaujannot	Joseph	ANCIEN	27/01/1898	06/10/1981	RI		commission de l'économie	Loir-et-Cher			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
04091M	M.	Beaumont	René	ANCIEN	29/02/1940		Les Républicains		commission des affaires étrangères	Saône-et-Loire		r.beaumont@senat.fr	Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Docteur vétérinaire
000460	M.	Beaupetit	Charles	ANCIEN	27/04/1921	09/09/1986	G.D.		commission de l'économie	Loir-et-Cher			Professions libérales	Professions judiciaires et libérales (Divers)	Géomètre-expert
58819Y	M.	Becam	Marc	ANCIEN	09/10/1931		RPR		commission des lois	Finistère			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
84003N	M.	Bécart	Jean-Luc	ANCIEN	23/08/1947		CRCE		commission des affaires étrangères	Pas-de-Calais			Cadres d'entreprise	Salariés (Cadres divers)	Conseiller technique
11030C	M.	Béchu	Christophe	ANCIEN	11/06/1974		Les Républicains		commission des lois	Maine-et-Loire		c.bechu@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
95009E	M.	Bécot	Michel	ANCIEN	10/10/1939		Les Républicains		commission des affaires économiques	Deux-Sèvres		m.becot@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
000054	M.	Beguere	Antoine	ANCIEN	29/09/1901	23/10/1960	RI		commission des affaires sociales	Hautes-Pyrénées			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Entrepreneur de travaux publics
98006P	M.	Bel	Jean-Pierre	ANCIEN	30/12/1951		SOCR		Aucune (Président du Sénat)	Ariège	Président du Sénat	bel1.jean-pierre@wanadoo.fr	Autres personnes sans activité professionnelle	Professions libérales (Publicistes)	Juriste
000091	M.	Belabed	Mohamed	ANCIEN	10/11/1903	25/05/1983	NI		commission de la culture	Oran-Tlemcen			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
80007A	M.	Belcour	Henri	ANCIEN	11/09/1926	19/11/2003	RPR		commission des affaires sociales	Corrèze			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000013	M.	Belhabich	Sliman	ANCIEN	15/05/1900	14/08/1977	U.N.R.		commission des affaires sociales	Oran-Tlemcen			Policiers et militaires	Fonctionnaires (Militaires)	Militaire (Lieutenant-colonel)
59217G	M.	Belin	Gilbert	ANCIEN	22/10/1927		SOCR		commission de la culture	Puy-de-Dôme			Instituteurs et assimilés	Enseignement secondaire	Professeur
000234	M.	Belkadi	Abdennour	ANCIEN	06/01/1910		RI	Apparenté	commission des affaires sociales	Tizi-Ouzou			Agriculteurs exploitants	Professions agricoles	Agriculteur
86011W	M.	Bellanger	Jacques	ANCIEN	25/06/1931		SOCR		commission de l'économie	Yvelines		Non public	Anciens cadres et professions liberales	Salariés (Retraités)	Retraité
89013M	M.	Belot	Claude	ANCIEN	11/07/1936		Les Républicains	Rattaché	commission des finances	Charente-Maritime		c.belot@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur d'université
57701F	M.	Beloucif	Amar	ANCIEN	01/01/1922	17/02/2002	NI		commission de l'économie	Bône			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur des services civils d'Algérie
000021	M.	Benacer	Salah	ANCIEN	06/07/1900	12/11/1961	NI		commission des lois	Tizi-Ouzou			Agriculteurs exploitants	Professions agricoles	Agriculteur, négociant et industriel
000064	M.	Benali	Brahim	ANCIEN	30/04/1899	29/01/1994	G.D.	Apparenté	commission des affaires sociales	Orléansville-Médéa			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
000541	M.	Benard	Paul	ANCIEN	09/12/1924	02/02/1987	RPR	Apparenté	commission de la culture	La Réunion			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
000321	M.	Benard Mousseaux	Jean	ANCIEN	02/08/1913	29/05/1996	U.R.E.I.		commission des lois	Indre			Agriculteurs exploitants	Professions agricoles	Agriculteur
11033F	Mme	Benbassa	Esther	ACTIF	27/03/1950		CRCE	Rattaché	commission des lois	Paris		e.benbassa@senat.fr	Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Professeure d'université
000665	M.	Bencherif	Mouaouia	ANCIEN	01/01/1902	23/12/1982	G.D.	Apparenté	commission de la culture	Orléansville-Médéa			Agriculteurs exploitants	Professions agricoles	Agriculteur
000047	M.	Bene	Jean	ANCIEN	12/07/1901	26/04/1992	SOCR		commission des affaires étrangères	Hérault			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
59309K	M.	Benedetti	Georges	ANCIEN	29/07/1930	19/11/2018	SOCR		commission des affaires sociales	Gard			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000759	M.	Benhabyles	Chérif	ANCIEN	25/12/1891	28/08/1959	G.D.		commission des affaires étrangères	Constantine			Autres personnes sans activité professionnelle	Sans profession déclarée	
58302X	M.	Benoist	Daniel	ANCIEN	09/02/1908	03/05/2004	SOCR		commission des affaires sociales	Nièvre			Medecins libéraux généralistes	Professions médicales (Chirurgiens)	Chirurgien
56326X	M.	Bentchicou	Ahmed	ANCIEN	11/08/1910	20/08/2004	U.N.R.		commission des affaires étrangères	Constantine			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
000553	M.	Beranger	Jean	ANCIEN	21/08/1925	17/01/1997	G.D.		commission des affaires sociales	Yvelines	Secrétaire du Sénat		Cadres d'entreprise	Salariés (Cadres divers)	Cadre
59566B	M.	Berard	Jacques	ANCIEN	07/06/1929	01/06/2014	RPR		commission des lois	Vaucluse			Anciens cadres	Professions judiciaires et libérales (Retraités)	Avocat honoraire
74011H	M.	Berchet	Georges	ANCIEN	13/06/1926	04/11/2004	RDSE		commission de l'économie	Haute-Marne			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ingénieur en chef du Génie rural, des eaux et des forêts
000285	M.	Bergeal	Aimé	ANCIEN	11/01/1912	26/09/1973	SOCR		commission de l'économie	Yvelines			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Inspecteur central des Postes et télécommunications
89019T	Mme	Bergé-Lavigne	Maryse	ANCIEN	29/01/1941		SOCR		commission des affaires étrangères	Haute-Garonne		mbl.permanence@wanadoo.fr	Instituteurs et assimilés	Enseignement primaire	Institutrice
