Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Motif debut de mandat	Date de fin de mandat	Annee de fin de mandat	Motif fin de mandat	Commentaire
98036V	M.	André	Pierre	ANCIEN	5142	27/09/1998	01/10/1998		Election	30/09/2008		Fin de mandat	
98036V	M.	André	Pierre	ANCIEN	11487	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Ne se représente pas	
08040S	M.	Andreoni	Serge	ANCIEN	11631	21/09/2008	01/10/2008		Election	30/09/2014		Ne se représente pas	
000376	M.	Andrieux	Antoine	ANCIEN	1945		01/01/1974		Remplace	01/10/1980		Fin de mandat	En remplacement de M. Roger DELAGNES
000376	M.	Andrieux	Antoine	ANCIEN	1946	28/09/1980	02/10/1980		Renouvellement	10/05/1983		Décédé	
97009N	M.	Angels	Bernard	ANCIEN	11		05/07/1997		Remplace	30/09/2004		Fin de mandat	En remplacement de M. Alain Richard nommé membre du Gouvernement
97009N	M.	Angels	Bernard	ANCIEN	10926	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011		Ne se représente pas	
000465	Mme	Anglade	Magdeleine	ANCIEN	1948		28/09/1994		Remplace	24/09/1995		Ne se représente pas	En remplacement de M. François COLLET, décédé
12040W	Mme	Ango Ela	Kalliopi	ANCIEN	12899		22/07/2012		Remplace	02/05/2014		Reprise mandat d'ancien membre du Gvt	en remplacement de Mme Hélène Conway-Mouret, nommée membre du Gouvernement
11109J	M.	Antiste	Maurice	ACTIF	12664	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11109J	M.	Antiste	Maurice	ACTIF	51366	24/09/2017	02/10/2017		Renouvellement			En Cours	
08072B	M.	Antoinette	Jean-Étienne	ANCIEN	11791	21/09/2008	01/10/2008		Election	30/09/2014		Non réélu	
08025T	M.	Anziani	Alain	ANCIEN	11575	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08025T	M.	Anziani	Alain	ANCIEN	14210	28/09/2014	01/10/2014		Renouvellement	30/09/2017		Démissionnaire	
19760E	Mme	Apourceau-Poly	Cathy	ACTIF	51596		01/07/2018		Remplace			En Cours	en remplacement de M. Dominique Watrin, démissionnaire
11055M	Mme	Archimbaud	Aline	ANCIEN	12747	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
000037	M.	Armengaud	André	ANCIEN	1952		28/06/1955		Renouvellement 2	05/05/1959		Fin de mandat	
000037	M.	Armengaud	André	ANCIEN	1953	05/05/1959	05/05/1959		Renouvellement 3	01/10/1968		Fin de mandat	
000037	M.	Armengaud	André	ANCIEN	1954	02/10/1968	02/10/1968		Renouvellement	11/03/1974		Décédé	
96008H	M.	Arnaud	Philippe	ANCIEN	12		29/09/1996		Election	30/09/1998		Fin de mandat	
96008H	M.	Arnaud	Philippe	ANCIEN	5048	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Non réélu	
14261S	M.	Arnell	Guillaume	ACTIF	14317	28/09/2014	01/10/2014		Election			En Cours	
59520L	M.	Arreckx	Maurice	ANCIEN	1956	28/09/1986	02/10/1986		Election	01/10/1995		Ne se représente pas	
19717B	M.	Artano	Stéphane	ACTIF	51364	24/09/2017	02/10/2017		Election			En Cours	
83011J	M.	Arthuis	Jean	ANCIEN	13	25/09/1983	03/10/1983		Election	19/04/1986		Membre Gouvernement	
83011J	M.	Arthuis	Jean	ANCIEN	15	24/07/1988	03/10/1988		Election	01/10/1992		Fin de mandat	
83011J	M.	Arthuis	Jean	ANCIEN	16	27/09/1992	02/10/1992		Renouvellement 1	17/06/1995		Membre Gouvernement	
83011J	M.	Arthuis	Jean	ANCIEN	18		21/09/1997		Election	30/09/2001		Fin de mandat	
83011J	M.	Arthuis	Jean	ANCIEN	6365	23/09/2001	01/10/2001		Renouvellement 1	30/09/2011		Fin de mandat	
83011J	M.	Arthuis	Jean	ANCIEN	12633	25/09/2011	01/10/2011		Renouvellement 2	30/06/2014		Démission (Député européen)	
19631V	Mme	Artigalas	Viviane	ACTIF	51245	24/09/2017	02/10/2017		Election			En Cours	
80003V	M.	Arzel	Alphonse	ANCIEN	19	28/09/1980	02/10/1980		Election	01/10/1989		Fin de mandat	
80003V	M.	Arzel	Alphonse	ANCIEN	20	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Non réélu	
04085P	Mme	Assassi	Éliane	ACTIF	10981	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04085P	Mme	Assassi	Éliane	ACTIF	12750	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Fin de mandat	
04085P	Mme	Assassi	Éliane	ACTIF	51205	24/09/2017	02/10/2017		Renouvellement 2			En Cours	
04059M	M.	Assouline	David	ACTIF	10875	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04059M	M.	Assouline	David	ACTIF	12739	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Fin de mandat	
04059M	M.	Assouline	David	ACTIF	51169	24/09/2017	02/10/2017		Renouvellement 2			En Cours	
98011L	M.	Auban	Bertrand	ANCIEN	5039	27/09/1998	01/10/1998		Election	30/09/2008		Fin de mandat	
98011L	M.	Auban	Bertrand	ANCIEN	11580	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Ne se représente pas	
000012	M.	Auberger	Fernand	ANCIEN	1959		19/06/1955		Renouvellement 1	27/04/1959		Fin de mandat	
000012	M.	Auberger	Fernand	ANCIEN	1960	26/04/1959	28/04/1959		Renouvellement 2	06/03/1962		Décédé	
000146	M.	Aubert	Emile	ANCIEN	1963		19/06/1955		Renouvellement 1	27/04/1959		Fin de mandat	
000146	M.	Aubert	Emile	ANCIEN	1964	26/04/1959	28/04/1959		Renouvellement 2	01/10/1962		Fin de mandat	
000146	M.	Aubert	Emile	ANCIEN	1965	23/09/1962	02/10/1962		Renouvellement 3	22/08/1969		Décédé	
14137P	M.	Aubey	François	ANCIEN	14087	28/09/2014	01/10/2014		Election	11/06/2015		Démissionné d'office par le Conseil constitutionnel	
000051	M.	Aubin	Jean	ANCIEN	1967		25/10/1968		Remplace	01/10/1971		Non réélu	En remplacement de M. Ludovic TRON, décédé
58614M	M.	Aubry	André	ANCIEN	1969	22/09/1968	02/10/1968		Election	02/10/1977		Ne se représente pas	
000098	M.	Auburtin	Jean	ANCIEN	1971		15/09/1972		Remplace	02/10/1977		Ne se représente pas	En remplacement de M. Albert CHAVANAC, décédé
000292	M.	Audy	Marcel	ANCIEN	1973	26/04/1959	28/04/1959		Election	22/09/1962		Fin de mandat	
000292	M.	Audy	Marcel	ANCIEN	1974	23/09/1962	02/10/1962		Renouvellement	06/01/1968	1962	Décédé	
83012K	M.	Autain	François	ANCIEN	21	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83012K	M.	Autain	François	ANCIEN	22	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Fin de mandat	
83012K	M.	Autain	François	ANCIEN	6503	23/09/2001	01/10/2001		Renouvellement 2	30/09/2011		Ne se représente pas	
00001A	M.	Autexier	Jean-Yves	ANCIEN	5847		28/01/2000		Remplace	30/09/2004		Non réélu	En remplacement de M. Charzat, élu député
80004W	M.	Authié	Germain	ANCIEN	23	28/09/1980	02/10/1980		Election	01/10/1989		Fin de mandat	
80004W	M.	Authié	Germain	ANCIEN	24	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Ne se représente pas	
19515S	M.	Babary	Serge	ACTIF	51104	24/09/2017	02/10/2017		Election			En Cours	
57741P	M.	Bac	Jean	ANCIEN	1977		29/06/1974		Remplace	02/10/1977		Non réélu	En remplacement de M. Jacques SOUFFLET, nommé membre du Gouvernement
95006B	M.	Badinter	Robert	ANCIEN	25	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95006B	M.	Badinter	Robert	ANCIEN	10946	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011	2011	Ne se représente pas	
95007C	M.	Badré	Denis	ANCIEN	26	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95007C	M.	Badré	Denis	ANCIEN	10947	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011		Non réélu	
89046W	M.	Bailet	Honoré	ANCIEN	27	24/09/1989	02/10/1989		Election	30/09/1998		Ne se représente pas	
11039M	M.	Bailly	Dominique	ANCIEN	12605	25/09/2011	01/10/2011		Election	01/10/2017		Non réélu	
01008M	M.	Bailly	Gérard	ANCIEN	6370	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01008M	M.	Bailly	Gérard	ANCIEN	12636	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
000490	M.	Bailly	Jean	ANCIEN	1984	26/09/1971	02/10/1971		Election	02/11/1971		Démissionnaire	
000339	M.	Bajeux	Octave	ANCIEN	1987		08/06/1958		Election	27/04/1959		Fin de mandat	
000339	M.	Bajeux	Octave	ANCIEN	1988	26/04/1959	28/04/1959		Renouvellement 1	01/10/1965		Fin de mandat	
000339	M.	Bajeux	Octave	ANCIEN	1989	26/09/1965	02/10/1965		Renouvellement 2	01/10/1974		Fin de mandat	
000339	M.	Bajeux	Octave	ANCIEN	1990	22/09/1974	02/10/1974		Renouvellement 3	02/10/1983		Ne se représente pas	
84004P	M.	Balarello	José	ANCIEN	28		26/12/1984		Remplace	01/10/1989		Fin de mandat	En remplacement de M. Victor ROBINI, décédé
84004P	M.	Balarello	José	ANCIEN	29	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Fin de mandat	
84004P	M.	Balarello	José	ANCIEN	5042	27/09/1998	01/10/1998		Renouvellement 2	30/09/2008		Ne se représente pas	
000115	M.	Balestra	Clément	ANCIEN	1993	26/04/1959	28/04/1959		Election	01/10/1968		Fin de mandat	
000115	M.	Balestra	Clément	ANCIEN	1994	22/09/1968	02/10/1968		Renouvellement	02/10/1977		Ne se représente pas	
74008N	M.	Ballayer	René	ANCIEN	30	22/09/1974	02/10/1974		Election	02/10/1983		Fin de mandat	
74008N	M.	Ballayer	René	ANCIEN	31	25/09/1983	03/10/1983		Renouvellement 1	01/10/1992		Fin de mandat	
74008N	M.	Ballayer	René	ANCIEN	32	27/09/1992	02/10/1992		Renouvellement 2	26/01/2001	2001	Décédé	
59564Y	M.	Bangou	Henri	ANCIEN	1997	28/09/1986	02/10/1986		Election	01/10/1995		Non réélu	
19707Y	M.	Bansard	Jean-Pierre	ANCIEN	51270	24/09/2017	02/10/2017		Election	27/07/2018		Annulé par CC	
000733	M.	Baratgin	Paul	ANCIEN	5327		08/06/1958		Renouvellement 3	27/04/1959		Fin de mandat	
000733	M.	Baratgin	Paul	ANCIEN	5328	26/04/1959	28/04/1959		Renouvellement 4	01/10/1965		Fin de mandat	
000733	M.	Baratgin	Paul	ANCIEN	5329	26/09/1965	02/10/1965		Renouvellement 5	22/12/1966		Décédé	
79005G	M.	Barbier	Bernard	ANCIEN	1999		06/07/1979		Remplace	01/10/1980		Fin de mandat	En remplacement de M. André PICARD, décédé
79005G	M.	Barbier	Bernard	ANCIEN	2000	28/09/1980	02/10/1980		Renouvellement 1	01/10/1989		Fin de mandat	
79005G	M.	Barbier	Bernard	ANCIEN	2001	24/09/1989	02/10/1989		Renouvellement 2	25/02/1998		Décédé	
01046T	M.	Barbier	Gilbert	ANCIEN	6481	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01046T	M.	Barbier	Gilbert	ANCIEN	12637	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
000282	M.	Barbier	Pierre	ANCIEN	2003	26/09/1965	02/10/1965		Election	01/10/1974		Non réélu	
58109Y	M.	Bardol	Jean	ANCIEN	2006		08/06/1958		Election	27/04/1959		Fin de mandat	
58109Y	M.	Bardol	Jean	ANCIEN	2007	26/04/1959	28/04/1959		Renouvellement 1	01/10/1965		Fin de mandat	
58109Y	M.	Bardol	Jean	ANCIEN	2008	26/09/1965	02/10/1965		Renouvellement 2	01/04/1973		Élu député	
94004U	Mme	Bardou	Janine	ANCIEN	33		10/09/1994		Remplace	30/09/2001		Ne se représente pas	En remplacement de M.Joseph CAUPERT, décédé
19651A	M.	Bargeton	Julien	ACTIF	51174	24/09/2017	02/10/2017		Election			En Cours	
58515K	M.	Barkat-Gourat	Hamadou	ANCIEN	9757	26/09/1965	02/10/1965		Election	01/10/1974		Fin de mandat	
58515K	M.	Barkat-Gourat	Hamadou	ANCIEN	9758	22/09/1974	02/10/1974		Renouvellement	30/06/1980		Démissionnaire	
95008D	M.	Barnier	Michel	ANCIEN	34	24/09/1995	02/10/1995		Election	31/10/1995		Membre Gouvernement	
95008D	M.	Barnier	Michel	ANCIEN	36		21/09/1997		Election	23/09/1999		Démissionnaire	
05004A	M.	Baroin	François	ANCIEN	14063	28/09/2014	01/10/2014		Election	30/09/2017		Démissionnaire	
000002	M.	Barrachin	Edmond	ANCIEN	2010	26/04/1959	28/04/1959		Election	01/10/1968		Fin de mandat	
000002	M.	Barrachin	Edmond	ANCIEN	2011	22/09/1968	02/10/1968		Renouvellement	08/11/1975		Décédé	
000529	M.	Barras	Jean	ANCIEN	2013	28/09/1986	02/10/1986		Election	11/04/1990		Décédé	
89018S	M.	Barraux	Bernard	ANCIEN	37	24/09/1989	02/10/1989		Election	30/09/1998		Fin de mandat	
89018S	M.	Barraux	Bernard	ANCIEN	5099	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Ne se représente pas	
000277	M.	Barroux	André	ANCIEN	2015		09/03/1967		Remplace	01/10/1974		Fin de mandat	En remplacement de M. Michel CHAMPLEBOUX, décédé
000277	M.	Barroux	André	ANCIEN	2016	22/09/1974	02/10/1974		Renouvellement	02/10/1983		Ne se représente pas	
05008E	M.	Bas	Philippe	ACTIF	12627	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
05008E	M.	Bas	Philippe	ACTIF	51085	24/09/2017	02/10/2017		Renouvellement			En Cours	
19741B	M.	Bascher	Jérôme	ACTIF	51526		25/11/2017		Remplace			En Cours	en remplacement de Mme Nadège Lefebvre, démissionnaire de son mandat
58613L	M.	Bastie	Pierre	ANCIEN	2019		24/07/1981		Remplace	16/07/1986		Démissionnaire	En remplacement de M. Raymond COURRIERE,  nommé membre du Gouvernement
000032	M.	Bastit-St Martin	Armand	ANCIEN	2021		05/10/1977		Remplace	01/10/1980		Ne se représente pas	En remplacement de M. Max MONICHON, décédé
11036J	Mme	Bataille	Delphine	ANCIEN	12604	25/09/2011	01/10/2011		Election	01/10/2017		Non réélu	
83013L	M.	Bataille	Jean-Paul	ANCIEN	38	25/09/1983	03/10/1983		Election	01/10/1992		Non réélu	
83013L	M.	Bataille	Jean-Paul	ANCIEN	40		10/02/1998		Remplace	16/10/1999	1999	Décédé	En remplacement de M. Maurice Schumann décédé
92007P	M.	Baudot	Jacques	ANCIEN	41	27/09/1992	02/10/1992		Election	30/09/2001		Fin de mandat	
92007P	M.	Baudot	Jacques	ANCIEN	6387	23/09/2001	01/10/2001		Renouvellement 1	21/06/2007	2007	Décédé	
000400	M.	Baumel	Jacques	ANCIEN	2024	26/04/1959	28/04/1959		Election	03/04/1967		Élu député	
59721T	M.	Baumet	Gilbert	ANCIEN	2026	28/09/1980	02/10/1980		Election	01/10/1989		Fin de mandat	
59721T	M.	Baumet	Gilbert	ANCIEN	2027	24/09/1989	02/10/1989		Renouvellement	14/10/1992		Démissionnaire	
000663	M.	Bayle	Jean-Pierre	ANCIEN	2029	03/10/1983	03/10/1983		Election	01/10/1992		Ne se représente pas	
86010V	M.	Baylet	Jean-Michel	ANCIEN	42	28/09/1986	02/10/1986		Election	16/06/1988		Élu député	
86010V	M.	Baylet	Jean-Michel	ANCIEN	44	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
86010V	M.	Baylet	Jean-Michel	ANCIEN	10753	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Non réélu	
000116	M.	Bayrou	Maurice	ANCIEN	2031	26/04/1959	28/04/1959		Election	01/10/1968		Fin de mandat	
000116	M.	Bayrou	Maurice	ANCIEN	2032	22/09/1968	02/10/1968		Renouvellement	02/10/1977		Ne se représente pas	
19667J	M.	Bazin	Arnaud	ACTIF	51114	24/09/2017	02/10/2017		Election			En Cours	
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	45		12/06/1979		Remplace	01/10/1986		Fin de mandat	En remplacement de M. Fernand CHATELAIN, décédé
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	46	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Fin de mandat	
79004F	Mme	Beaudeau	Marie-Claude	ANCIEN	47	24/09/1995	02/10/1995		Renouvellement 2	30/09/2004		Ne se représente pas	
01013J	Mme	Beaufils	Marie-France	ANCIEN	6384	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01013J	Mme	Beaufils	Marie-France	ANCIEN	12653	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
000731	M.	Beaujannot	Joseph	ANCIEN	5331		19/06/1955		Election	27/04/1959		Fin de mandat	
000731	M.	Beaujannot	Joseph	ANCIEN	5332	26/04/1959	28/04/1959		Renouvellement 1	01/10/1965		Fin de mandat	
000731	M.	Beaujannot	Joseph	ANCIEN	5333	26/09/1965	02/10/1965		Renouvellement 2	01/10/1974		Non réélu	
04091M	M.	Beaumont	René	ANCIEN	11007	26/09/2004	01/10/2004		Election	30/09/2014		Ne se représente pas	
000460	M.	Beaupetit	Charles	ANCIEN	2035	22/09/1974	02/10/1974		Election	02/10/1983		Fin de mandat	
000460	M.	Beaupetit	Charles	ANCIEN	2036	25/09/1983	03/10/1983		Renouvellement	09/09/1986		Décédé	
58819Y	M.	Becam	Marc	ANCIEN	2038	28/09/1980	02/10/1980		Election	02/04/1986		Élu député	
84003N	M.	Bécart	Jean-Luc	ANCIEN	48		03/10/1984		Remplace	01/10/1992		Fin de mandat	En remplacement de M. Raymond DUMONT, démissionnaire
84003N	M.	Bécart	Jean-Luc	ANCIEN	49	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Ne se représente pas	
11030C	M.	Béchu	Christophe	ANCIEN	12510	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
95009E	M.	Bécot	Michel	ANCIEN	50	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95009E	M.	Bécot	Michel	ANCIEN	10999	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Ne se représente pas	
000054	M.	Beguere	Antoine	ANCIEN	2040	26/04/1959	28/04/1959		Election	23/10/1960		Décédé	
98006P	M.	Bel	Jean-Pierre	ANCIEN	5005	27/09/1998	01/10/1998		Election	30/09/2008		Fin de mandat	
98006P	M.	Bel	Jean-Pierre	ANCIEN	11480	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Ne se représente pas	
000091	M.	Belabed	Mohamed	ANCIEN	9492	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
80007A	M.	Belcour	Henri	ANCIEN	51	28/09/1980	02/10/1980		Election	01/10/1989		Fin de mandat	
80007A	M.	Belcour	Henri	ANCIEN	52	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Ne se représente pas	
000013	M.	Belhabich	Sliman	ANCIEN	9495	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
59217G	M.	Belin	Gilbert	ANCIEN	2042	22/09/1974	02/10/1974		Election	02/10/1983		Ne se représente pas	
59217G	M.	Belin	Gilbert	ANCIEN	2044		29/07/1988		Remplace	01/10/1992		Ne se représente pas	En remplacement de M. Michel CHARASSE, nommé membre du Gouvernement
000234	M.	Belkadi	Abdennour	ANCIEN	9498	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
86011W	M.	Bellanger	Jacques	ANCIEN	53	28/09/1986	02/10/1986		Election	23/09/1995		Non réélu	
86011W	M.	Bellanger	Jacques	ANCIEN	55		19/11/1997		Remplace	30/09/2004		Ne se représente pas	En remplacement de M. Michel Rocard, démissionnaire
89013M	M.	Belot	Claude	ANCIEN	56	24/09/1989	02/10/1989		Election	30/09/1998		Fin de mandat	
89013M	M.	Belot	Claude	ANCIEN	5055	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Fin de mandat	
89013M	M.	Belot	Claude	ANCIEN	11525	21/09/2008	01/10/2008		Renouvellement 2	30/09/2014		Ne se représente pas	
57701F	M.	Beloucif	Amar	ANCIEN	9500	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
000021	M.	Benacer	Salah	ANCIEN	9502	31/05/1959	31/05/1959		Election	12/11/1961	1961	Décédé	
000064	M.	Benali	Brahim	ANCIEN	9505	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
000541	M.	Benard	Paul	ANCIEN	2046	25/09/1983	03/10/1983		Election	02/02/1987		Décédé	
000321	M.	Benard Mousseaux	Jean	ANCIEN	2048	26/09/1971	02/10/1971		Election	01/10/1980		Fin de mandat	
000321	M.	Benard Mousseaux	Jean	ANCIEN	2049	28/09/1980	02/10/1980		Renouvellement	01/10/1989		Ne se représente pas	
11033F	Mme	Benbassa	Esther	ACTIF	12745	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11033F	Mme	Benbassa	Esther	ACTIF	51172	24/09/2017	02/10/2017		Réélection			En Cours	
000665	M.	Bencherif	Mouaouia	ANCIEN	9507	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
000047	M.	Bene	Jean	ANCIEN	2054		19/06/1955		Renouvellement 2	27/04/1959		Fin de mandat	
000047	M.	Bene	Jean	ANCIEN	2055	26/04/1959	28/04/1959		Renouvellement 3	01/10/1962		Fin de mandat	
