"ID universel"	"ID RNE"	"ID Assemblee"	"Nom elu"	"Prenom elu"	"Date naissance"	"Date deces"	"Code sexe"	"Nationalite elu"	"Commune de naissance"	"Departement de naissance"	"Pays de naissance"	"Code profession"	"Libelle profession"
"RNE_0001003"	"1003"	"PA1166"	"DREYFUS"	"TONY"	1939-01-09	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001167"	NA	"PA1167"	"DREYFUS SCHMIDT"	"MICHEL"	1932-06-17	2008-09-07	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0001036"	"1036"	"PA1171"	"DRUT"	"GUY"	1950-12-06	NA	"M"	"FRANCAISE"	"OIGNIES"	"PAS DE CALAIS"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001172"	NA	"PA1172"	"DU LUART"	"ROLAND"	1940-03-12	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000965"	"965"	"PA1174"	"DUBERNARD"	"JEAN MICHEL"	1941-05-17	NA	"M"	"FRANCAISE"	"LYON"	"RHONE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0000636"	"636"	"PA1178"	"DUBOURG"	"PHILIPPE"	1938-07-09	NA	"M"	"FRANCAISE"	"BORDEAUX CAUDERAN"	"GIRONDE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0000657"	"657"	"PA1181"	"DUCOUT"	"PIERRE"	1942-12-12	NA	"M"	"FRANCAISE"	"BORDEAUX"	"GIRONDE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000605"	"605"	"PA1182"	"DUFAU"	"JEAN PIERRE"	1943-07-05	NA	"M"	"FRANCAISE"	"CAPBRETON"	"LANDES"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"ASN_0001183"	NA	"PA1183"	"DUFAUT"	"ALAIN"	1944-01-02	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001192"	NA	"PA1192"	"DULAIT"	"ANDRE"	1937-11-14	2020-01-18	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0046106"	"46106"	"PA1193"	"DUMAS"	"WILLIAM"	1942-01-23	NA	"M"	"FRANCAISE"	"NIMES"	"GARD"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0738537"	"738537"	"PA1198"	"DUMONT"	"LAURENCE"	1958-06-02	NA	"F"	"FRANCAISE"	"VINCENNES"	"VAL DE MARNE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000855"	"855"	"PA1199"	"DUMONT"	"JEAN LOUIS"	1944-04-06	NA	"M"	"FRANCAISE"	"JONVILLE"	"MEUSE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001203"	NA	"PA1203"	"DUPONT"	"JEAN LEONCE"	1955-01-31	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001204"	NA	"PA1204"	"DUPONT"	"AMBROISE"	1937-05-11	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000714"	"714"	"PA1205"	"DUPONT"	"JEAN PIERRE"	1933-06-19	NA	"M"	"FRANCAISE"	"ALGER"	NA	"ALGERIE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0001109"	"1109"	"PA1206"	"DUPONT AIGNAN"	"NICOLAS"	1961-03-07	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0148345"	"148345"	"PA1208"	"DUPRE"	"JEAN PAUL"	1944-02-05	NA	"M"	"FRANCAISE"	"DAVEJEAN"	"AUDE"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0000826"	"826"	"PA1214"	"DURAND"	"YVES"	1946-06-06	NA	"M"	"FRANCAISE"	"AMBRIERES LES VALLEES"	"MAYENNE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_1183835"	"1183835"	"PA1221"	"DURIEU"	"PAUL"	1947-07-08	NA	"M"	"FRANCAISE"	"CAMARET"	"VAUCLUSE"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0048496"	"48496"	"PA1224"	"DURIEZ"	"ODETTE"	1948-05-07	NA	"F"	"FRANCAISE"	"MERVILLE"	"NORD"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0147400"	"147400"	"PA1226"	"DURON"	"PHILIPPE"	1947-06-19	NA	"M"	"FRANCAISE"	"ANTONY"	"HAUTS DE SEINE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001229"	NA	"PA1229"	"DURRIEU"	"JOSETTE"	1937-03-20	NA	"F"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001231"	NA	"PA1231"	"DUSSAUT"	"BERNARD"	1941-11-14	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001233"	NA	"PA1233"	"DUSSERRE"	"JEAN YVES"	1953-01-01	2014-12-27	"M"	"FRANCAISE"	"GAP"	NA	NA	NA	"SANS PROFESSION DECLAREE"
"ASN_0001236"	NA	"PA1236"	"DUTREIL"	"RENAUD"	1960-06-12	NA	"M"	"FRANCAISE"	"CHAMBERY"	"SAVOIE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0001280"	"1280"	"PA1243"	"ECKERT"	"CHRISTIAN"	1956-02-08	NA	"M"	"FRANCAISE"	"ALGRANGE"	"MOSELLE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001250"	NA	"PA1250"	"EMIN"	"JEAN PAUL"	1939-06-17	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000606"	"606"	"PA1252"	"EMMANUELLI"	"HENRI"	1945-05-31	2017-03-21	"M"	"FRANCAISE"	"EAUX BONNES"	"PYRENEES ATLANTIQUES"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"ASN_0001253"	NA	"PA1253"	"EMORINE"	"JEAN PAUL"	1944-03-20	NA	"M"	"FRANCAISE"	"SENNECY LE GRAND"	"SAONE ET LOIRE"	"FRANCE"	NA	"AGRICULTEURS EXPLOITANTS"
"ASN_0001258"	NA	"PA1258"	"ESNEU"	"MICHEL"	1943-07-18	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000762"	"762"	"PA1263"	"ESTROSI"	"CHRISTIAN"	1955-07-01	NA	"M"	"FRANCAISE"	"NICE"	"ALPES MARITIMES"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"ASN_0001264"	NA	"PA1264"	"ETIENNE"	"JEAN CLAUDE"	1941-08-06	2017-03-11	"M"	"FRANCAISE"	"VOUZIERS"	"ARDENNES"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000890"	"890"	"PA1266"	"EVIN"	"CLAUDE"	1949-06-29	NA	"M"	"FRANCAISE"	"LE CELLIER"	"LOIRE ATLANTIQUE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0001023"	"1023"	"PA1268"	"FABIUS"	"LAURENT"	1946-08-20	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000927"	"927"	"PA1271"	"FACON"	"ALBERT"	1943-11-11	NA	"M"	"FRANCAISE"	"VICHY"	"ALLIER"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001275"	NA	"PA1275"	"FALCO"	"HUBERT"	1947-05-15	NA	"M"	"FRANCAISE"	"PIGNAN"	"VAR"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"RNE_0372885"	"372885"	"PA1276"	"FANGET"	"MICHEL"	1950-05-03	NA	"M"	"FRANCAISE"	"CLERMONT FERRAND"	"PUY DE DOME"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001282"	NA	"PA1282"	"FAUCHON"	"PIERRE"	1929-07-13	2016-07-25	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001286"	NA	"PA1286"	"FAURE"	"JEAN"	1937-01-14	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0001078"	"1078"	"PA1300"	"FERRAND"	"JEAN MICHEL"	1942-08-31	NA	"M"	"FRANCAISE"	"GARDANNE"	"BOUCHES DU RHONE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001301"	NA	"PA1301"	"FERRAND"	"ANDRE"	1936-02-22	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000952"	"952"	"PA1304"	"FERRY"	"ALAIN"	1952-02-03	NA	"M"	"FRANCAISE"	"BADEN BADEN"	NA	"ALLEMAGNE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"ASN_0001308"	NA	"PA1308"	"FILLEUL"	"JEAN JACQUES"	1943-06-22	NA	"M"	"FRANCAISE"	"TOURS"	"INDRE ET LOIRE"	"FRANCE"	NA	"PROFESSIONS INTERMEDIAIRES DE L ENSEIGNEMENT DE LA SANTE DE LA FONCTION PUBLIQUE ET ASSIMILES"
"RNE_0046473"	"46473"	"PA1310"	"FILLON"	"FRANCOIS"	1954-03-04	NA	"M"	"FRANCAISE"	"LE MANS"	"SARTHE"	"FRANCE"	NA	NA
"ASN_0001311"	NA	"PA1311"	"FISCHER"	"GUY"	1944-01-12	2014-11-01	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000597"	"597"	"PA1317"	"FLOCH"	"JACQUES"	1938-02-28	NA	"M"	"FRANCAISE"	"BIHOREL"	"SEINE MARITIME"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001319"	NA	"PA1319"	"FLOSSE"	"GASTON"	1931-06-24	NA	"M"	"FRANCAISE"	"RIKITEA"	"POLYNESIE FRANCAISE"	"FRANCE"	NA	"COMMERCANTS ET ASSIMILES"
"RNE_0000940"	"940"	"PA1326"	"FORGUES"	"PIERRE"	1938-06-17	NA	"M"	"FRANCAISE"	"TARBES"	"HAUTES PYRENEES"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000631"	"631"	"PA1327"	"FORISSIER"	"NICOLAS"	1961-02-17	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"ASN_0001336"	NA	"PA1336"	"FOUCAUD"	"THIERRY"	1954-01-18	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001340"	NA	"PA1340"	"FOURCADE"	"JEAN PIERRE"	1929-10-18	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0001051"	"1051"	"PA1341"	"FOURGOUS"	"JEAN MICHEL"	1953-09-30	NA	"M"	"FRANCAISE"	"MONTREUIL"	"SEINE SAINT DENIS"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"ASN_0001344"	NA	"PA1344"	"FOURNIER"	"BERNARD"	1946-09-13	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000906"	"906"	"PA1353"	"FRANCAIX"	"MICHEL"	1943-05-28	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0001117"	"1117"	"PA1355"	"CECCALDI RAYNAUD"	"JOELLE"	1951-02-09	NA	"F"	"FRANCAISE"	"ALGER"	NA	"ALGERIE"	NA	"CADRES D ENTREPRISE"
"ASN_0001360"	NA	"PA1360"	"FRANCOIS PONCET"	"JEAN"	1928-12-08	2012-07-18	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0015719"	"15719"	"PA1362"	"FRANQUEVILLE"	"CHRISTIAN"	1949-05-14	NA	"M"	"FRANCAISE"	"SAULXURES LES BULGNEVILLE"	"VOSGES"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0001115"	"1115"	"PA1364"	"FRAYSSE"	"JACQUELINE"	1947-02-25	NA	"F"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001370"	NA	"PA1370"	"FREVILLE"	"YVES"	1934-12-01	NA	"M"	"FRANCAISE"	"RENNES"	"ILLE ET VILAINE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_1192029"	"1192029"	"PA1373"	"FRITCH"	"EDOUARD"	1952-01-04	NA	"M"	"FRANCAISE"	"TAHITI"	"POLYNESIE FRANCAISE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000787"	"787"	"PA1375"	"FROGIER"	"PIERRE"	1950-11-16	NA	"M"	"FRANCAISE"	"NOUMEA"	"NOUVELLE CALEDONIE"	"FRANCE"	NA	"COMMERCANTS ET ASSIMILES"
"RNE_0000721"	"721"	"PA1379"	"FROMION"	"YVES"	1941-09-15	NA	"M"	"FRANCAISE"	"VORLY"	"CHER"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000848"	"848"	"PA1389"	"GAILLARD"	"CLAUDE"	1944-08-15	NA	"M"	"FRANCAISE"	"MONTRIOND"	"HAUTE SAVOIE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"ASN_0001390"	NA	"PA1390"	"GAILLARD"	"YANN"	1936-10-09	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000900"	"900"	"PA1399"	"GALLEZ"	"CECILE"	1936-05-16	NA	"F"	"FRANCAISE"	"RAISMES"	"NORD"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_1505044"	"1505044"	"PA1401"	"GALUT"	"YANN"	1966-03-14	NA	"M"	"FRANCAISE"	"ANTONY"	"HAUTS DE SEINE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0001011"	"1011"	"PA1403"	"GALY DEJEAN"	"RENE"	1932-03-16	NA	"M"	"FRANCAISE"	"MAUVEZIN"	"GERS"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"RNE_0000775"	"775"	"PA1412"	"GARD"	"DANIEL"	1950-01-28	NA	"M"	"FRANCAISE"	"ROZOY SUR SERRE"	"AISNE"	"FRANCE"	NA	"TECHNICIENS"
"ASN_0001417"	NA	"PA1417"	"GARREC"	"RENE"	1934-12-24	NA	"M"	"FRANCAISE"	"LANVEOC"	"FINISTERE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000701"	"701"	"PA1418"	"GARRIGUE"	"DANIEL"	1948-04-04	NA	"M"	"FRANCAISE"	"TALENCE"	"GIRONDE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000858"	"858"	"PA1432"	"GATIGNOL"	"CLAUDE"	1938-11-20	NA	"M"	"FRANCAISE"	"SAINT JULIEN PRES BORT"	"CORREZE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0000705"	"705"	"PA1433"	"GAUBERT"	"JEAN"	1947-03-03	NA	"M"	"FRANCAISE"	"PLOUVARA"	"COTES D ARMOR"	"FRANCE"	NA	"AGRICULTEURS EXPLOITANTS"
